     27 '2008/06/google-s-emmele-les-pinceaux.html';'articles/2008/06/google-s-emmele-les-pinceaux/'
     26 'articles/2019/04/how-the-boeing-737-max-disaster-looks-to-a-software-developer/';'articles/2019/04/19/how-the-boeing-737-max-disaster-looks-to-a-software-developer/'
     26 'articles/2018/08/using-cloudinary-s-fetch-api-to-convert-an-animated-gif-to-a-video/';'articles/2018/08/01/using-cloudinary-s-fetch-api-to-convert-an-animated-gif-to-a-video/'
     26 'articles/2017/11/medium-is-only-an-edge-server-of-your-posse-cdn-your-own-blog-is-the-origin/';'articles/2017/11/09/medium-is-only-an-edge-server-of-your-posse-cdn-your-own-blog-is-the-origin/';https://indieweb.org/POSSE
     26 'articles/2014/11/suggestions-de-sujets-et-orateurs-pour-paris-web-2015/';'articles/2014/11/21/suggestions-de-sujets-et-orateurs-pour-paris-web-2015/'
     26 'articles/2008/07/meduses-fluorescentes/';'articles/2008/07/03/meduses-fluorescentes/'
     26 'articles/2005/06/attrapez-le-soleil/';'articles/2005/06/27/attrapez-le-soleil/'
     25 'tags/macro.html';'tags/macro/'
     25 'links/2019/03/death-to-bullshit/';'links/2019/03/21/death-to-bullshit/'
     25 'articles/2018/06/users-do-change-font-size/';'articles/2018/06/15/users-do-change-font-size/'
     25 'articles/2013/03/lachez-prise/';'articles/2013/03/18/lachez-prise/'
     25 'articles/2008/07/y-a-une-cuil-dans-le-potage/';'articles/2008/07/31/y-a-une-cuil-dans-le-potage/'
     25 'articles/2008/01/afficher-les-favicon-dans-la-barre-personnelle-de-firefox-sous-mac-os/';'articles/2008/01/22/afficher-les-favicon-dans-la-barre-personnelle-de-firefox-sous-mac-os/'
     25 'articles/2006/11/le-blog-de-flickr-met-en-avant-mon-groupe-dedie-aux-photos-prises-avec-l-appareil-place-tout-juste-a-la-surface-de-l-eau/';'articles/2006/11/23/le-blog-de-flickr-met-en-avant-mon-groupe-dedie-aux-photos-prises-avec-l-appareil-place-tout-juste-a-la-surface-de-l-eau/'
     25 '2017/01/lister-des-contenus-similaires-avec-jekyll.html';'articles/2017/01/lister-des-contenus-similaires-avec-jekyll/'
     25 '2012/08/le-backup-day-c-est-tous-les-jours.html';'articles/2012/08/le-backup-day-c-est-tous-les-jours/'
     25 '2008/07/y-a-une-cuil-dans-le-potage.html';'articles/2008/07/y-a-une-cuil-dans-le-potage/'
     25 '2006/06/faut-il-que-j-abandonne-spip-pour-dotclear.html';'articles/2006/06/faut-il-que-j-abandonne-spip-pour-dotclear/'
     25 '2004/12/noel-2004-aux-pays-bas.html';'articles/2004/12/noel-2004-aux-pays-bas/'
     24 'wp-login.php';'about/the-website.html';http://nicolas-hoizey.com/wp-login.php
     24 'links/2019/02/timelines-of-the-web/';'links/2019/02/21/timelines-of-the-web/'
     24 'articles/2017/02/mettre-a-jour-les-plugins-jekyll-sans-danger/';'articles/2017/02/01/mettre-a-jour-les-plugins-jekyll-sans-danger/'
     24 'articles/2015/02/tgif-en-musique/';'articles/2015/02/13/tgif-en-musique/'
     24 'articles/2015/02/a-bicyclette/';'articles/2015/02/06/a-bicyclette/'
     24 'articles/2013/07/connexion-automatique-d-un-mac-a-un-hotspot-freewifi/';'articles/2013/07/09/connexion-automatique-d-un-mac-a-un-hotspot-freewifi/'
     24 'articles/2011/01/le-design-de-gastero-prod-est-il-a-jeter-a-la-poubelle/';'articles/2011/01/28/le-design-de-gastero-prod-est-il-a-jeter-a-la-poubelle/'
     24 'articles/2009/06/along-the-shore/';'articles/2009/06/25/along-the-shore/'
     24 'articles/2001/05/une-introduction-a-pear/';'articles/2001/05/24/une-introduction-a-pear/'
     24 '2017/11/medium-is-only-an-edge-server-of-your-posse-cdn-your-own-blog-is-the-origin.html';'articles/2017/11/medium-is-only-an-edge-server-of-your-posse-cdn-your-own-blog-is-the-origin/';https://nicolas-hoizey.com/
     24 '2014/04/l-excellent-sav-de-truffaut-via-twitter.html';'articles/2014/04/l-excellent-sav-de-truffaut-via-twitter/'
     24 '2008/01/afficher-les-favicon-dans-la-barre-personnelle-de-firefox-sous-mac-os.html';'articles/2008/01/afficher-les-favicon-dans-la-barre-personnelle-de-firefox-sous-mac-os/'
